movieCd,movieNm,movieNmEn,movieNmOg,openDt,showTm,genres,directors,audits,actors
20184105,['말모이'],['MAL·MO·E: The Secret Mission'],[''],['20190109'],['135'],[dict_values(['드라마'])],"[dict_values(['엄유나', 'EOM Yuna'])]","[dict_values(['2018-MF02396', '12세이상관람가'])]","[dict_values(['유해진', 'YOO Hae-jin', '', '']), dict_values(['윤계상', 'YOON Kye-sang', '', '']), dict_values(['김홍파', 'KIM Hong-pa', '', ''])]"
20176251,['내안의 그놈'],['Inside me'],[''],['20190109'],['122'],[dict_values(['판타지'])],"[dict_values(['강효진', 'KANG Hyo-jin'])]","[dict_values(['2018-MF01859', '15세이상관람가'])]","[dict_values(['박성웅', 'PARK Sung-woong', '판수', '']), dict_values(['진영', '', '동현', '']), dict_values(['라미란', 'RA Mi-ran', '미선', ''])]"
20189463,['주먹왕 랄프 2: 인터넷 속으로'],['Ralph Breaks the Internet'],[''],['20190103'],['112'],[dict_values(['애니메이션'])],"[dict_values(['리치 무어', 'Rich Moore'])]","[dict_values(['2018-MF02246', '전체관람가'])]","[dict_values(['존 C. 라일리', 'John C. Reilly', '', '']), dict_values(['사라 실버맨', 'Sarah Silverman', '', '']), dict_values(['맨디 무어', 'Mandy Moore', '', ''])]"
20180290,['아쿠아맨'],['AQUAMAN'],[''],['20181219'],['143'],[dict_values(['액션'])],"[dict_values(['제임스 완', 'James Wan'])]","[dict_values(['2018-MF02303 ', '12세이상관람가'])]","[dict_values(['제이슨 모모아', 'Jason Momoa', '', '']), dict_values(['앰버 허드', 'Amber Heard', '', '']), dict_values(['니콜 키드먼', 'Nicole Kidman', '', ''])]"
20183915,['극장판 공룡메카드: 타이니소어의 섬'],[''],[''],['20190110'],['70'],[dict_values(['애니메이션'])],"[dict_values(['최신규', 'CHOE Shin-gyu'])]","[dict_values(['2018-MF02159', '전체관람가'])]",[]
20185485,['보헤미안 랩소디'],['Bohemian Rhapsody'],[''],['20181031'],['134'],[dict_values(['드라마'])],"[dict_values(['브라이언 싱어', 'Bryan Singer'])]","[dict_values(['2018-MF01972', '12세이상관람가'])]","[dict_values(['레미 맬렉', 'Rami Malek', '', '']), dict_values(['조셉 마젤로', 'Joseph Mazzello', '', '']), dict_values(['마이크 마이어스', 'Mike Myers', '', ''])]"
20184574,['그린 북'],['Green Book'],[''],['20190109'],['130'],[dict_values(['드라마'])],"[dict_values(['피터 패럴리', 'Peter Farrelly'])]","[dict_values(['2018-MF02280', '12세이상관람가'])]","[dict_values(['비고 모텐슨', 'Viggo Mortensen', '', '']), dict_values(['마허샬라 알리', 'Mahershala Ali', '', ''])]"
20186281,['범블비'],['Bumblebee'],[''],['20181225'],['113'],[dict_values(['액션'])],"[dict_values(['트래비스 나이트', 'Travis Knight'])]","[dict_values(['2018-MF02395', '12세이상관람가'])]","[dict_values(['헤일리 스테인펠드', 'Hailee Steinfeld', '', '']), dict_values(['파멜라 애들론', 'Pamela Adlon', '', '']), dict_values(['존 시나', 'John Cena', '', ''])]"
20170658,['PMC: 더 벙커'],['Take Point'],[''],['20181226'],['124'],[dict_values(['액션'])],"[dict_values(['김병우', 'KIM Byung-woo'])]","[dict_values(['2018-MF02410', '15세이상관람가'])]","[dict_values(['하정우', 'HA Jung-woo', '', '']), dict_values(['이선균', 'LEE Sun-kyun', '', '']), dict_values(['제니퍼 엘', 'Jennifer Ehle', '', ''])]"
20175547,['스윙키즈'],['Swing Kids'],[''],['20181219'],['133'],[dict_values(['드라마'])],"[dict_values(['강형철', 'KANG Hyoung-chul'])]","[dict_values(['2018-MF02244', '12세이상관람가'])]","[dict_values(['도경수', 'DOH Kyung-soo', '', '']), dict_values(['박혜수', '', '', '']), dict_values(['자레드 그라임스', 'Jared Grimes', '', ''])]"
20183785,['점박이 한반도의 공룡2 : 새로운 낙원'],[''],[''],['20181225'],['93'],[dict_values(['애니메이션'])],"[dict_values(['한상호', ''])]","[dict_values(['2018-MF02240', '전체관람가'])]","[dict_values(['박희순', 'PARK Hee-soon', '점박이 목소리', '']), dict_values(['라미란', 'RA Mi-ran', '송곳니 목소리', '']), dict_values(['김성균', 'KIM Sung-kyun', '싸이 목소리', ''])]"
20184187,['언니'],['No Mercy'],[''],['20190101'],['93'],[dict_values(['액션'])],"[dict_values(['임경택', 'LIM Kyoung-tack'])]","[dict_values(['2018-MF02432', '청소년관람불가'])]","[dict_values(['이시영', 'LEE Si-young', '', '']), dict_values(['박세완', 'PARK Se-wan', '', '']), dict_values(['이준혁', 'LEE Jun-hyuk', '', ''])]"
20182421,['그린치'],['The Grinch'],[''],['20181219'],['89'],[dict_values(['애니메이션'])],"[dict_values(['스콧 모시어', 'Scott Mosier'])]","[dict_values(['2018-MF02028', '전체관람가'])]","[dict_values(['베네딕트 컴버배치', 'Benedict Cumberbatch', '', ''])]"
20168773,['마약왕'],['The Drug King'],[''],['20181219'],['139'],[dict_values(['범죄'])],"[dict_values(['우민호', 'WOO Min-ho'])]","[dict_values(['2018-MF01606', '청소년관람불가'])]","[dict_values(['송강호', 'SONG Kang-ho', '이두삼', '']), dict_values(['조정석', 'JO Jung-suk', '김인구', '']), dict_values(['배두나', 'BAE Doo-na', '김정아', ''])]"
20183479,['극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~'],['Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion'],[''],['20181219'],['103'],[dict_values(['애니메이션'])],"[dict_values(['타카하시 와타루', 'Wataru Takahashi'])]","[dict_values(['2018-MF02346', '전체관람가'])]","[dict_values(['박영남', 'PARK Yoeng-nam', '짱구 (한국어 목소리)', '']), dict_values(['강희선', 'GANG Hui-seon', '엄마/맹구 (한국어 목소리)', '']), dict_values(['김환진', 'KIM Hwan-chin', '아빠 (한국어 목소리)', ''])]"
20183238,['스파이더맨: 뉴 유니버스'],['Spider-Man: Into the Spider-Verse'],[''],['20181212'],['116'],[dict_values(['애니메이션'])],"[dict_values(['밥 퍼시케티', 'Bob Persichetti'])]","[dict_values(['2018-MF02316', '12세이상관람가'])]","[dict_values(['샤메익 무어', 'Shameik Moore', '마일스 모랄레스', '']), dict_values(['헤일리 스테인펠드', 'Hailee Steinfeld', '스파이더 그웬', '']), dict_values(['니콜라스 케이지', 'Nicolas Cage ', '스파이더맨 누아르', ''])]"
20177552,['국가부도의 날'],['Default'],[''],['20181128'],['114'],[dict_values(['드라마'])],"[dict_values(['최국희', 'CHOI Kook-hee'])]","[dict_values(['2018-MF01973', '12세이상관람가'])]","[dict_values(['김혜수', 'KIM Hye-soo', '', '']), dict_values(['유아인', 'YOO Ah-in', '', '']), dict_values(['허준호', 'HUH Joon-ho', '', ''])]"
20179230,['도어락'],['Door Lock'],[''],['20181205'],['101'],[dict_values(['스릴러'])],"[dict_values(['이권', 'LEE Kwon'])]","[dict_values(['2018-MF02157', '15세이상관람가'])]","[dict_values(['공효진', 'KONG Hyo-jin', '조경민', '']), dict_values(['김예원', 'KIM Ye-won', '오효주', '']), dict_values(['김성오', 'KIM Sung-oh', '이형사', ''])]"
20183375,['극장판 포켓몬스터 모두의 이야기'],['Pokemon the Movie: The Power of Us'],['劇場版ポケットモンスター みんなの物語'],['20181219'],['98'],[dict_values(['애니메이션'])],"[dict_values(['야지마 테츠오', 'Tetsuo Yajima'])]","[dict_values(['2018-MF02168', '전체관람가'])]",[]
20189843,['호두까기 인형과 4개의 왕국'],['The Nutcracker and the Four Realms'],[''],['20181206'],['99'],[dict_values(['판타지'])],"[dict_values(['라세 할스트롬', 'Lasse Hallstrom'])]","[dict_values(['2018-MF02136', '전체관람가'])]","[dict_values(['키이라 나이틀리', 'Keira Knightley', '', '']), dict_values(['매켄지 포이', 'Mackenzie Foy', '', '']), dict_values(['헬렌 미렌', 'Helen Mirren', '', ''])]"
20182082,['부탁 하나만 들어줘'],['A Simple Favor'],[''],['20181212'],['116'],[dict_values(['스릴러'])],"[dict_values(['폴 페이그', 'Paul Feig'])]","[dict_values(['2018-MF02209', '청소년관람불가'])]","[dict_values(['블레이크 라이블리', 'Blake Lively', '', '']), dict_values(['안나 켄드릭', 'Anna Kendrick', '', '']), dict_values(['헨리 골딩', 'Henry Golding', '', ''])]"
20178825,['모털 엔진'],['Mortal Engines'],[''],['20181205'],['128'],[dict_values(['액션'])],"[dict_values(['크리스찬 리버스', 'Christian Rivers'])]","[dict_values(['2018-MF02210', '12세이상관람가'])]","[dict_values(['헤라 힐마', 'Hera Hilmar', '헤스터 쇼', '']), dict_values(['로버트 시한', 'Robert Sheehan', '톰 내츠워디', '']), dict_values(['휴고 위빙', 'Hugo Weaving', '테데우스 발렌타인', ''])]"
20183745,['런닝맨 : 풀룰루의 역습'],['Running Man'],[''],['20181205'],['66'],[dict_values(['애니메이션'])],"[dict_values(['윤준상', 'YOON Jun-sang'])]","[dict_values(['2018-MF02189', '전체관람가'])]","[dict_values(['김서영', 'KIM Seo-young', '리우 목소리', '']), dict_values(['권창욱', '', '쿠가 목소리', '']), dict_values(['엄상현', 'UM Sang-hyun', '롱키 목소리', ''])]"
20177538,['완벽한 타인'],['Intimate Strangers'],[''],['20181031'],['115'],[dict_values(['드라마'])],"[dict_values(['이재규', 'LEE Jae-kyoo'])]","[dict_values(['2018-MF01726', '15세이상관람가'])]","[dict_values(['유해진', 'YOO Hae-jin', '', '']), dict_values(['조진웅', 'CHO Jin-woong', '', '']), dict_values(['이서진', 'LEE Seo-jin', '준모', ''])]"
20184481,['성난황소'],['Unstoppable'],[''],['20181122'],['115'],[dict_values(['범죄'])],"[dict_values(['김민호', 'KIM Min-ho'])]","[dict_values(['2018-MF02083', '15세이상관람가'])]","[dict_values(['마동석', 'Don LEE', '', '']), dict_values(['송지효', 'SONG Ji-hyo', '', '']), dict_values(['김성오', 'KIM Sung-oh', '', ''])]"
20181905,['후드'],['Robin Hood'],[''],['20181128'],['116'],[dict_values(['어드벤처'])],"[dict_values(['오토 바서스트', 'Otto Bathurst'])]","[dict_values(['2018-MF02043', '12세이상관람가'])]","[dict_values(['태런 에저튼', 'Taron Egerton', '', '']), dict_values(['제이미 폭스', 'Jamie Foxx', '', '']), dict_values(['벤 멘델슨', 'Ben Mendelsohn', '', ''])]"
20176814,['신비한 동물들과 그린델왈드의 범죄'],['Fantastic Beasts: The Crimes of Grindelwald'],['FANTASTIC BEASTS THE CRIMES OF GRINDELWALD'],['20181114'],['133'],[dict_values(['판타지'])],"[dict_values(['데이빗 예이츠', 'David Yates'])]","[dict_values(['2018-MF02044', '12세이상관람가'])]","[dict_values(['에디 레드메인', 'Eddie Redmayne', '', '']), dict_values(['캐서린 워터스턴', 'Katherine Waterston', '', '']), dict_values(['앨리슨 수돌', 'Alison Sudol', '', ''])]"
20183073,['베일리 어게인'],"[""A Dog's Purpose""]",[''],['20181122'],['100'],[dict_values(['어드벤처'])],"[dict_values(['라세 할스트롬', 'Lasse Hallstrom'])]","[dict_values(['2018-MF02082', '전체관람가'])]","[dict_values(['조시 게드', 'Josh Gad', '', '']), dict_values(['데니스 퀘이드', 'Dennis Quaid', '', '']), dict_values(['브릿 로버트슨', 'Britt Robertson', '', ''])]"
20181171,['바울'],"['Paul, Apostle Of Christ']",[''],['20181031'],['107'],[dict_values(['드라마'])],"[dict_values(['앤드류 하얏트', 'Andrew Hyatt'])]","[dict_values(['2018-MF01804', '15세이상관람가'])]","[dict_values(['제임스 폴크너', 'James Faulkner', '', '']), dict_values(['제임스 카비젤', 'James Caviezel', '', ''])]"
20183007,['거미줄에 걸린 소녀'],['THE GIRL IN THE SPIDER’S WEB'],[''],['20181128'],['115'],[dict_values(['액션'])],"[dict_values(['페드 알바레즈', 'Fede Alvarez'])]","[dict_values(['2018-MF02211', '15세이상관람가'])]","[dict_values(['클레어 포이', 'Claire Foy', '', '']), dict_values(['실비아 획스', 'Sylvia Hoeks', '', '']), dict_values(['스베리르 구드나손', 'Sverrir Gudnason', '', ''])]"
20182966,['투 프렌즈'],['TWO TAILS'],[''],['20181129'],['74'],[dict_values(['애니메이션'])],"[dict_values(['빅터 아즈에프', 'Victor Azeev'])]","[dict_values(['2018-MF02080', '전체관람가'])]",[]
20183050,['번 더 스테이지: 더 무비'],['Burn the Stage: the Movie'],[''],['20181115'],['82'],[dict_values(['기타'])],"[dict_values(['박준수', ''])]","[dict_values(['2018-MF02135', '전체관람가'])]","[dict_values(['김남준', 'RM', '', '']), dict_values(['김석진', 'JIN', '', '']), dict_values(['민윤기', 'SUGA', '', ''])]"
20182935,['출국'],['Unfinished'],[''],['20181114'],['104'],[dict_values(['드라마'])],"[dict_values(['노규엽', ''])]","[dict_values(['2018-MF01929', '15세이상관람가'])]","[dict_values(['이범수', 'LEE Beom-su', '', '']), dict_values(['연우진', 'YEON Woo-jin', '', '']), dict_values(['박혁권', 'PARK Hyuk-kwon', '', ''])]"
20182669,['툴리'],['TULLY'],[''],['20181122'],['95'],[dict_values(['드라마'])],"[dict_values(['제이슨 라이트맨', 'Jason Reitman'])]","[dict_values(['2018-MF01816', '15세이상관람가'])]","[dict_values(['샤를리즈 테론', 'Charlize Theron', '', '']), dict_values(['맥켄지 데이비스', 'Mackenzie Davis', '', '']), dict_values(['마크 듀플라스', 'Mark Duplass', '', ''])]"
20186822,['너의 췌장을 먹고 싶어'],['I want to eat your pancreas'],['君の膵臓をたべたい'],['20181115'],['109'],[dict_values(['애니메이션'])],"[dict_values(['우시지마 신이치로', 'Shinichiro Ushijima'])]","[dict_values(['2018-MF02041', '12세이상관람가'])]","[dict_values(['타카스기 마히로', 'Mahiro Takasugi', '나 (목소리)', '']), dict_values(['린', 'Lynn', '사쿠라 (목소리)', '']), dict_values(['후지이 유키요', 'Yukiyo Fujii', '쿄코 (목소리)', ''])]"
20170513,['동네사람들'],[''],[''],['20181107'],['99'],[dict_values(['액션'])],"[dict_values(['임진순', 'LIM Jin-sun'])]","[dict_values(['2018-MF01975', '15세이상관람가'])]","[dict_values(['마동석', 'Don LEE', '역기철', '']), dict_values(['김새론', 'KIM Sae-ron', '강유진', '']), dict_values(['이상엽', 'LEE Sang-yeob', '지성', ''])]"
20189869,['해피 투게더'],['Happy Together'],[''],['20181115'],['110'],[dict_values(['드라마'])],"[dict_values(['김정환', ''])]","[dict_values(['2018-MF02101', '12세이상관람가'])]","[dict_values(['박성웅', 'PARK Sung-woong', '', '']), dict_values(['송새벽', 'SONG Sae-byeok', '', '']), dict_values(['최로운', '', '', ''])]"
20174981,['창궐'],['Rampant'],[''],['20181025'],['121'],[dict_values(['사극'])],"[dict_values(['김성훈', 'KIM Sung-hoon'])]","[dict_values(['2018-MF01721', '15세이상관람가'])]","[dict_values(['현빈', 'HYUN Bin', '', '']), dict_values(['장동건', 'JANG Dong-gun', '', '']), dict_values(['조우진', 'JO Woo-jin', '', ''])]"
20010291,['해리포터와 마법사의 돌'],['Harry Potter And The Socrerers Stone'],[''],['20011213'],['152'],[dict_values(['가족'])],"[dict_values(['크리스 콜럼버스', 'Chris Columbus'])]","[dict_values(['2001-F336', '전체관람가'])]","[dict_values(['다니엘 래드클리프', 'Daniel Radcliffe', '', '']), dict_values(['엠마 왓슨', 'Emma Watson', '', '']), dict_values(['루퍼트 그린트', 'Rupert Grint', '', ''])]"
20179006,['여곡성'],['The Wrath'],[''],['20181108'],['94'],[dict_values(['공포(호러)'])],"[dict_values(['유영선', 'YOO Young-sun'])]","[dict_values(['2018-MF01703', '15세이상관람가'])]","[dict_values(['홍예리', 'HONG Yae-ree', '비류', '']), dict_values(['서영희', 'SEO Young-hee', '신씨부인', '']), dict_values(['손나은', 'SON Na-eun', '옥분', ''])]"
20181404,['벽 속에 숨은 마법시계'],['The house with a clock in its walls'],[''],['20181031'],['105'],[dict_values(['판타지'])],"[dict_values(['일라이 로스', 'Eli Roth'])]","[dict_values(['2018-MF01769', '전체관람가'])]","[dict_values(['잭 블랙', 'Jack Black', '', '']), dict_values(['케이트 블란쳇', 'Cate Blanchett', '', '']), dict_values(['오웬 바카로', 'Owen Vaccaro', '', ''])]"
20180523,['스타 이즈 본'],['A Star Is Born'],[''],['20181009'],['135'],[dict_values(['드라마'])],"[dict_values(['브래들리 쿠퍼', 'Bradley Cooper'])]","[dict_values(['2018-MF01588', '15세이상관람가'])]","[dict_values(['브래들리 쿠퍼', 'Bradley Cooper', '', '']), dict_values(['레이디 가가', 'Lady Gaga', '', '']), dict_values(['샘 엘리엇', 'Sam Elliott', '', ''])]"
20182693,['구스범스: 몬스터의 역습'],['Goosebumps 2: Haunted Halloween'],[''],['20181107'],['89'],[dict_values(['판타지'])],"[dict_values(['아리 산델', 'Ari Sandel'])]","[dict_values(['2018-MF02084', '12세이상관람가'])]","[dict_values(['잭 블랙', 'Jack Black', '', '']), dict_values(['켄 정', 'Ken Jeong', '', ''])]"
